mz,RT,feature,withMS2
208.78647533096,119.4886,f190,0
208.934599845751,92.4143,f191,0
210.931635811406,92.4143,f192,1
210.98940894823,97.40689999998,f193,1
212.979187974894,792.7787,f194,1
213.017083630926,171.49299999998,f195,0
214.144854555352,778.88,f196,1
214.934117262401,83.5778,f197,0
215.001935917227,546.49849999998,f198,1
215.03281230064,90.88980000002,f199,0
215.128899588512,906.1325,f200,1
216.005313409676,545.56365,f201,0
216.909379052715,162.1803,f202,1
217.017569366653,537.5101,f203,1
217.048432956063,93.47329999998,f204,1
218.020924219429,537.55069999998,f205,0
218.103326349969,241.75039999998,f206,1
218.905183816983,163.82265,f207,0
218.945975488078,67.8106,f208,0
218.963393429628,92.47145,f209,1
218.986191981144,1058.5605,f210,0
219.013384080107,537.68129999998,f211,0
219.045489745448,93.47329999998,f212,0
219.845432970028,93.84730000002,f213,1
220.048893594785,99.76454999998,f214,1
220.794204521766,451.31029999998,f215,0
220.800605821763,394.552,f216,0
220.8186510946,539.2107,f217,0
220.820006080399,74.78089999998,f218,0
220.824865920329,96.0602,f219,0
220.836372815112,85.73849999998,f220,0
220.838587761432,74.94109999998,f221,0
220.839341854414,71.53870000002,f222,0
220.894252204659,539.15429999998,f223,0
220.895361928023,537.4289,f224,0
220.916245948818,74.7795,f225,0
220.917957470381,74.7795,f226,0
220.920211119092,64.68639999998,f227,0
220.922893507951,1539.6973,f228,0
220.963837930127,195.15800000002,f229,0
220.966033540131,71.5059,f230,0
220.977371758962,97.50219999998,f231,0
220.983882563653,68.4109,f232,0
220.986543129888,61.94000000002,f233,0
220.987292084467,540.96559999998,f234,0
220.995836423313,381.88940000002,f235,0
221.000836364876,1474.08020000002,f236,0
221.023469105182,155.41280000002,f237,0
221.023854611149,143.44980000002,f238,0
221.045265705893,99.64769999998,f239,1
221.050405655024,1541.5702,f240,0
221.05147218019,1568.3342,f241,0
221.051854952019,1855.08269999998,f242,0
221.056771964469,76.55329999998,f243,0
221.058616568576,429.55959999998,f244,1
221.058189073825,495.4559,f245,0
221.061984983658,203.8043,f246,0
221.068203787441,155.69509999998,f247,1
221.081941469052,1034.68624999999,f248,1
221.136172589199,10.86449999998,f249,0
222.090212506763,578.81149999998,f250,1
222.977930253359,510.12949999998,f251,0
223.022414332659,67.92529999998,f252,1
223.110466644104,926.3003,f253,1
224.087266063653,578.37824999998,f254,0
224.105888230322,608.04290000002,f255,1
224.130911190306,66.44219999998,f256,0
224.191967128212,66.10719999998,f257,0
224.23578808023,69.60050000002,f258,0
224.962953545635,78.35519999998,f259,1
225.018126500576,66.01560000002,f260,1
225.022672191888,579.2421,f261,1
225.061619495591,93.6727,f262,1
226.102927757318,608.8943,f263,0
226.934932975245,778.95409999999,f264,0
226.966070492111,71.3732,f265,0
226.971317116333,1146.5545,f266,0
227.077231775584,94.94175000001,f267,0
227.966852380201,71.4475,f268,0
228.160514510317,870.48420000001,f269,1
228.902884650718,85.34149999998,f270,0
228.932871190754,778.9764,f271,0
