mz,RT,feature,Omni14,Omni8,Omni12,Omni3,Omni2,Omni10,Omni13,Omni7,Omni4,Omni11,Omni9,Omni1,Omni15,Omni6,Omni5
102.858650323257,1189.14089999998,f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13766.9782314148
102.956813748294,83.64510000002,f2,2904.1426745709,9101.95267304815,5086.43240999943,7382.83846742939,17555.8848624332,9264.06645202898,4990.46815270931,13983.2277745798,19025.8334479122,23228.0100736003,12362.0526714111,15779.4388657052,18861.0818829143,9317.66392334402,21187.0109190159
103.864946812964,1112.79390000001,f3,14138.8036450148,22052.2477833767,13415.3692699447,11170.8958531916,9456.44893298051,29728.9925921482,0,25993.9375612802,6603.11710146815,0,5073.50463956594,27220.6724330518,0,10151.8371728063,0
103.864927607964,1190.16770000002,f4,0,0,0,0,0,0,0,0,0,0,0,0,44419.9038537595,0,53709.8847660959
104.183903762845,76.59199999998,f5,110645.006593944,150954.455414144,99301.27579563,106820.824412854,107574.295874414,68429.5760218345,108089.288472144,72007.3846536774,88554.808820984,78233.5708911447,78301.2216722122,110785.390283411,78440.7412192482,85744.2536954819,96640.866644224
107.050141254361,537.5101,f6,15845.464833891,18225.8139990475,19667.6754922853,3259.28125575185,9733.96532739275,3069.42625081539,4767.4216427207,5060.72776913643,14944.3764270669,16890.149914518,0,18189.5542114377,12710.2255131591,7295.39991281927,13472.34864204
107.378838580497,78.24520000002,f7,11468.4391818307,27959.1357976759,12936.9089065224,8156.55440917611,22163.3162735867,0,0,8686.91176012857,10447.1385330858,8936.31173365307,12726.9735007889,12895.4437848588,10140.3031665203,3183.56193115888,15366.7512361633
112.985034463534,79.97550000002,f8,264236.10257867,8804.83679911671,364730.878789481,301207.286995331,17525.5927905086,107087.044060614,261541.948327325,252586.5719385,339459.607072465,296552.428010665,287288.649994913,384998.321372364,285453.985286132,323366.304831449,381089.559667811
112.985632837292,76.59019999998,f9,633557.130742487,911464.243903146,512738.493688331,665181.60226874,664915.806134203,389471.205212372,710194.80479971,425178.681904654,518072.4319828,459334.365195324,418271.393220471,592248.683500282,438789.602755811,510248.190036035,627076.305397486
117.781878902514,76.59199999998,f10,127243.285549384,177955.992582821,107764.911201123,123762.142417907,116677.9718257,70958.7472175802,116055.648249975,81860.7005475684,100154.943603186,90027.0825320118,85128.675716166,124392.543451998,78189.9138136959,93521.017960462,112685.477945667
120.97686241369,78.39739999998,f11,20426.3174145417,25406.4687540382,20486.5817178516,18590.7462499241,26251.9327779042,3223.27095223125,21586.4089509961,11411.1302136166,12449.7276352458,13389.2914488647,11054.6678863198,15508.1486382466,12836.5177226509,12094.9898772384,16197.2376216963
124.924339911242,125.53770000001,f12,57252.2956026971,68753.2065758851,93180.1902820285,130585.963101257,148843.092202515,61266.6766776361,74428.0211605085,67612.6967233121,117439.29432942,106027.479239922,50815.3388817687,104576.137124147,59211.0291360302,56125.6649331767,155095.078577718
